answer,answer_id,p_before_answer,p_after_emb_answer,p_after_ce_answer,delta_p_emb_answer,delta_p_ce_answer,cos_sim_answer,rho_emb,rho_ce
France,2605,0.030920108780264854,0.031607791781425476,0.09736374765634537,0.0006876830011606216,0.06644363701343536,0.9999998807907104,0.19991599159915988,0.21395739573957392
Canada,2710,0.9754807949066162,0.9754906296730042,0.9761868715286255,9.834766387939453e-06,0.0007060766220092773,1.0,-0.28523252325232523,-0.28523252325232523
Australia,2660,0.8136821985244751,0.8190379738807678,0.8517332077026367,0.005355775356292725,0.03805100917816162,1.0,-0.2013201320132013,-0.2013201320132013
Mexico,3290,0.9742737412452698,0.9742814302444458,0.9750533103942871,7.68899917602539e-06,0.000779569149017334,0.9999999403953552,-0.4092529252925292,-0.4092529252925292
Australia,2660,0.002617176156491041,0.002633454976603389,0.007412591017782688,1.6278820112347603e-05,0.004795414861291647,1.0,0.13594959495949593,0.13528952895289528
California,2662,0.03551265969872475,0.03621974214911461,0.0903753936290741,0.0007070824503898621,0.05486273393034935,1.0,0.17528563200340636,-0.677131713171317
Canada,2710,0.9959195852279663,0.9959195852279663,0.995937705039978,0.0,1.811981201171875e-05,1.0,-0.2874716836852416,-0.28656465646564655
Germany,2762,0.9945580959320068,0.9945580959320068,0.9945942759513855,0.0,3.618001937866211e-05,0.9999998807907104,-0.3594718099464813,-0.3603120312031202
Germany,2762,0.9996315240859985,0.9996315240859985,0.9996315240859985,0.0,0.0,0.9999998807907104,,-0.44865421138579187
Brazil,4380,0.02362811379134655,0.023935534060001373,0.06110863387584686,0.0003074202686548233,0.037480518221855164,1.0000001192092896,0.47729516140377254,-0.18079807980798077
Bangladesh,7269,0.6129245162010193,0.6244279146194458,0.7147088050842285,0.011503398418426514,0.10178428888320923,1.0,-0.306054605460546,-0.306054605460546
Israel,3956,0.9985148310661316,0.9985148310661316,0.9985173344612122,0.0,2.5033950805664062e-06,1.0000001192092896,,-0.31684368436843685
Australia,2660,0.8898559808731079,0.8908814191818237,0.903978705406189,0.0010254383087158203,0.014122724533081055,1.0,-0.0859045904590459,-0.0859045904590459
Poland,3735,0.0722389817237854,0.08686379343271255,0.21910150349140167,0.014624811708927155,0.14686252176761627,1.0,0.2360876087608761,0.23449144914491446
Croatia,8097,0.003620866918936372,0.0036300590727478266,0.009824213571846485,9.192153811454773e-06,0.006203346885740757,1.0,0.605824217377948,0.09994599459945992
Canada,2710,0.053298287093639374,0.05653511360287666,0.20732468366622925,0.0032368265092372894,0.15402638912200928,1.0,0.13942994299429942,0.13874587458745874
Canada,2710,0.9619909524917603,0.9620243310928345,0.9636529088020325,3.337860107421875e-05,0.0016619563102722168,1.0,-0.15903990399039902,-0.15903990399039902
